id,img_path,label,len
ONES_0,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_0.png,머,1
ONES_1,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_1.png,머,1
ONES_2,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_2.png,머,1
ONES_3,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_3.png,머,1
ONES_4,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_4.png,머,1
ONES_5,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_5.png,머,1
ONES_6,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_6.png,머,1
ONES_7,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_7.png,써,1
ONES_8,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_8.png,써,1
ONES_9,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_9.png,써,1
ONES_10,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_10.png,써,1
ONES_11,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_11.png,써,1
ONES_12,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_12.png,써,1
ONES_13,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_13.png,써,1
ONES_14,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_14.png,써,1
ONES_15,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_15.png,빈,1
ONES_16,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_16.png,빈,1
ONES_17,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_17.png,빈,1
ONES_18,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_18.png,빈,1
ONES_19,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_19.png,빈,1
ONES_20,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_20.png,빈,1
ONES_21,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_21.png,빈,1
ONES_22,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_22.png,윷,1
ONES_23,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_23.png,윷,1
ONES_24,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_24.png,윷,1
ONES_25,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_25.png,윷,1
ONES_26,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_26.png,윷,1
ONES_27,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_27.png,훵,1
ONES_28,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_28.png,훵,1
ONES_29,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_29.png,훵,1
ONES_30,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_30.png,훵,1
ONES_31,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_31.png,훵,1
ONES_32,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_32.png,훵,1
ONES_33,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_33.png,훵,1
ONES_34,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_34.png,괼,1
ONES_35,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_35.png,괼,1
ONES_36,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_36.png,괼,1
ONES_37,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_37.png,괼,1
ONES_38,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_38.png,괼,1
ONES_39,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_39.png,괼,1
ONES_40,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_40.png,괼,1
ONES_41,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_41.png,괼,1
ONES_42,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_42.png,괼,1
ONES_43,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_43.png,괼,1
ONES_44,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_44.png,괼,1
ONES_45,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_45.png,괼,1
ONES_46,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_46.png,괼,1
ONES_47,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_47.png,뀌,1
ONES_48,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_48.png,뀌,1
ONES_49,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_49.png,뀌,1
ONES_50,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_50.png,뀌,1
ONES_51,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_51.png,뀌,1
ONES_52,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_52.png,뀌,1
ONES_53,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_53.png,뀌,1
ONES_54,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_54.png,뀌,1
ONES_55,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_55.png,뀌,1
ONES_56,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_56.png,듬,1
ONES_57,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_57.png,듬,1
ONES_58,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_58.png,듬,1
ONES_59,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_59.png,듬,1
ONES_60,/home/gyuseonglee/workspace/2301_OCR/data/ones/ONES_60.png,듬,1
